--- my_trans.txt	2022-07-21 01:45:34.299445441 -0400
+++ ref_trans.txt	2022-07-21 01:45:20.255378778 -0400
@@ -1,219 +1,219 @@
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a6c,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a54,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a7c,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a58,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a8c,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a5c,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a9c,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+M 7ff000384,4 miss eviction hit 
+L 7ff000384,4 hit 
+L 7ff000390,8 miss eviction 
+L 7ff000398,8 miss eviction 
+L 600aa0,1 miss eviction 
 hits:45 misses:193 evictions:192
